CREDIT_HIERARCHY,4,010121,010121016,010121016703693,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016703694,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016703696,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016703700,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016703730,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016703768,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016703864,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705009,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705032,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705058,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705068,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705076,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705081,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705092,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705149,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705181,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705199,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705285,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705381,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705471,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705482,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705680,20160824,,DEL MAR,016
CREDIT_HIERARCHY,4,010121,010121016,010121016705938,20160824,,DEL MAR,016
CREDIT_HIERARCHY,5,010121016,010121016703309,,20160824,,09/08 DUR-NORTH WILMINGTON
CREDIT_HIERARCHY,5,010121016,010121016703356,,20160824,,WILMINGTON-COMMERCIAL
CREDIT_HIERARCHY,5,010121016,010121016703491,,20160824,,FENWICK ISLAND
CREDIT_HIERARCHY,5,010121016,010121016703690,,20160824,,SALISBURY-SNOW HILL RD
CREDIT_HIERARCHY,5,010121016,010121016703692,,20160824,,REHOBOTH BEACH-MIDWAY
CREDIT_HIERARCHY,5,010121016,010121016703693,,20160824,,08/10 DUR-OCEAN CITY
CREDIT_HIERARCHY,5,010121016,010121016703694,,20160824,,07/10 DUR-DOVER
CREDIT_HIERARCHY,5,010121016,010121016703696,,20160824,,CHESTER-KENT ISLAND
CREDIT_HIERARCHY,5,010121016,010121016703700,,20160824,,NEWARK-COMMERCIAL
CREDIT_HIERARCHY,5,010121016,010121016703730,,20160824,,WILMINGTON-KIRKWOOD HIGHWAY
CREDIT_HIERARCHY,5,010121016,010121016703768,,20160824,,WILMINGTON-MARSH RD
